Category,Sub-Category,Product Name,Max Order Quantity,Price,Warehouse Quantity,Production Price
Furniture,Bookcases,Sauder Cornerstone Collection Library,8,24.78,800,18.58
Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",3,145.33,300,109.0
Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",2,128.78,200,96.58
Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",3,119.83,300,89.87
Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",7,89.07,700,66.8
Furniture,Chairs,Bevis Steel Folding Chairs,3,76.76,300,57.57
Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,8,123.8,800,92.85
Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",4,139.66,400,104.74
Furniture,Chairs,"Global Armless Task Chair, Royal Blue",5,42.69,500,32.02
Furniture,Chairs,Global Chrome Stack Chair,10,24.0,1000,18.0
Furniture,Chairs,Global Comet Stacking Arm Chair,3,295.76,300,221.82
Furniture,Chairs,Global Comet Stacking Armless Chair,3,259.18,300,194.38
Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,5,227.98,500,170.98
Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,6,192.74,600,144.56
Furniture,Chairs,Global Deluxe High-Back Manager's Chair,3,200.19,300,150.14
Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,4,108.79,400,81.59
Furniture,Chairs,Global Deluxe Office Fabric Chairs,4,81.58,400,61.18
Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",2,38.24,200,28.68
Furniture,Chairs,Global Deluxe Steno Chair,4,63.51,400,47.63
Furniture,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,3,189.69,300,142.27
Furniture,Chairs,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,1,207.18,100,155.38
Furniture,Chairs,Global Ergonomic Managers Chair,6,162.88,600,122.16
Furniture,Chairs,Global Executive Mid-Back Manager's Chair,3,261.88,300,196.41
Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",9,87.52,900,65.64
Furniture,Chairs,"Global Geo Office Task Chair, Gray",8,64.78,800,48.58
Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",4,107.62,400,80.72
Furniture,Chairs,Global Highback Leather Tilter in Burgundy,3,81.89,300,61.42
Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",2,113.17,200,84.88
Furniture,Chairs,Global Leather Executive Chair,3,280.79,300,210.59
Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",2,160.78,200,120.58
Furniture,Chairs,"Global Leather Task Chair, Black",3,77.39,300,58.04
Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",6,280.91,600,210.68
Furniture,Chairs,Global Low Back Tilter Chair,3,85.83,300,64.37
Furniture,Chairs,"Global Stack Chair without Arms, Black",14,18.19,1400,13.64
Furniture,Chairs,Global Super Steno Chair,8,71.98,800,53.98
Furniture,Chairs,"Global Task Chair, Black",3,38.17,300,28.63
Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,6,425.83,600,319.37
Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",5,54.8,500,41.1
Furniture,Chairs,"Global Value Steno Chair, Gray",3,52.64,300,39.48
Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",6,68.24,600,51.18
Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,3,278.82,300,209.12
Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,9,525.74,900,394.3
Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,7,64.06,700,48.04
Furniture,Chairs,Harbour Creations Steel Folding Chair,3,77.62,300,58.22
Furniture,Chairs,High-Back Leather Manager's Chair,3,97.49,300,73.12
Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,4,224.78,400,168.58
Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,11,277.14,1100,207.86
Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,6,320.98,600,240.74
Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,5,320.38,500,240.28
Furniture,Chairs,Hon Comfortask Task/Swivel Chairs,3,85.49,300,64.12
Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,5,170.79,500,128.09
Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",4,227.71,400,170.78
Furniture,Chairs,Hon Every-Day Chair Series Swivel Task Chairs,3,84.69,300,63.52
Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,4,140.98,400,105.73
Furniture,Chairs,Hon GuestStacker Chair,7,204.0,700,153.0
Furniture,Chairs,Hon Mobius Operator's Chair,6,110.69,600,83.02
Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,7,194.94,700,146.2
Furniture,Chairs,Hon Olson Stacker Chairs,2,211.82,200,158.86
Furniture,Chairs,Hon Olson Stacker Stools,2,112.65,200,84.49
Furniture,Chairs,Hon Pagoda Stacking Chairs,8,256.78,800,192.58
Furniture,Chairs,Hon Valutask Swivel Chairs,5,95.93,500,71.95
Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",4,58.22,400,43.66
Furniture,Chairs,"Leather Task Chair, Black",3,69.75,300,52.31
Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",7,181.73,700,136.3
Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",4,30.55,400,22.91
Furniture,Chairs,Novimex Fabric Task Chair,5,52.85,500,39.64
Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,5,56.78,500,42.58
Furniture,Chairs,Novimex Swivel Fabric Task Chair,2,135.88,200,101.91
Furniture,Chairs,Novimex Turbo Task Chair,6,56.78,600,42.58
Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,9,126.88,900,95.16
Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,4,83.24,400,62.43
Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",4,104.78,400,78.59
Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",5,117.88,500,88.41
Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,4,144.78,400,108.58
Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,2,64.78,200,48.58
Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,5,100.42,500,75.32
Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,9,128.78,900,96.58
Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2,350.98,200,263.24
Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,2,81.88,200,61.41
Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,3,97.53,300,73.15
Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,3,77.69,300,58.27
Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",6,60.74,600,45.56
Furniture,Chairs,SAFCO Arco Folding Chair,5,248.58,500,186.44
Furniture,Chairs,SAFCO Folding Chair Trolley,4,109.0,400,81.75
Furniture,Chairs,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,4,22.2,400,16.65
Furniture,Chairs,"Safco Chair Connectors, 6/Carton",7,26.94,700,20.21
Furniture,Chairs,Safco Contoured Stacking Chairs,4,226.48,400,169.86
Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",12,60.33,1200,45.25
Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,10,14.65,1000,10.99
Furniture,Furnishings,24-Hour Round Wall Clock,2,19.98,200,14.98
Furniture,Furnishings,36X48 HARDFLOOR CHAIRMAT,4,16.78,400,12.58
Furniture,Furnishings,3M Hangers With Command Adhesive,8,2.71,800,2.03
Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",6,136.98,600,102.73
Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",4,5.66,400,4.24
Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,7,13.79,700,10.34
Furniture,Furnishings,Acrylic Self-Standing Desk Frames,4,2.4,400,1.8
Furniture,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",8,30.93,800,23.2
Furniture,Furnishings,Advantus Panel Wall Acrylic Frame,4,2.19,400,1.64
Furniture,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,5,10.98,500,8.24
Furniture,Furnishings,Aluminum Document Frame,3,9.78,300,7.33
Furniture,Furnishings,Artistic Insta-Plaque,4,15.68,400,11.76
Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,3,3.47,300,2.6
Furniture,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",2,54.74,200,41.06
Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",7,4.69,700,3.52
Furniture,Furnishings,"Career Cubicle Clock, 8 1/4"", Black",5,18.93,500,14.2
Furniture,Furnishings,Coloredge Poster Frame,3,14.2,300,10.65
Furniture,Furnishings,"Computer Room Manger, 14""",3,25.98,300,19.48
Furniture,Furnishings,Contemporary Borderless Frame,3,8.61,300,6.46
Furniture,Furnishings,Contemporary Wood/Metal Frame,3,9.7,300,7.28
Furniture,Furnishings,"Contract Clock, 14"", Brown",5,16.12,500,12.09
Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,2,18.54,200,13.9
Furniture,Furnishings,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",3,8.85,300,6.64
Furniture,Furnishings,DAX Clear Channel Poster Frame,5,14.58,500,10.94
Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",4,12.58,400,9.44
Furniture,Furnishings,DAX Cubicle Frames - 8x10,3,5.77,300,4.33
Furniture,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",5,8.57,500,6.43
Furniture,Furnishings,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",3,12.58,300,9.44
Furniture,Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge",2,14.17,200,10.63
Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,8,26.48,800,19.86
Furniture,Furnishings,DAX Solid Wood Frames,4,9.77,400,7.33
Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",7,9.48,700,7.11
Furniture,Furnishings,DAX Two-Tone Silver Metal Document Frame,4,18.89,400,14.17
Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",3,3.98,300,2.98
Furniture,Furnishings,DAX Wood Document Frame,4,13.73,400,10.3
Furniture,Furnishings,DAX Wood Document Frame.,6,12.36,600,9.27
Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,1,32.78,100,24.58
Furniture,Furnishings,Dana Swing-Arm Lamps,2,8.54,200,6.4
Furniture,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,",5,27.06,500,20.29
Furniture,Furnishings,Dax Clear Box Frame,4,7.42,400,5.56
Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,2,105.34,200,79.0
Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",3,42.65,300,31.99
Furniture,Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat",3,51.65,300,38.74
Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",3,37.19,300,27.89
Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,2,62.18,200,46.64
Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",9,73.78,900,55.34
Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",5,29.18,500,21.88
Furniture,Furnishings,Document Clip Frames,3,8.34,300,6.26
Furniture,Furnishings,Eldon 200 Class Desk Accessories,4,5.86,400,4.4
Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",7,5.44,700,4.08
Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Smoke",11,6.28,1100,4.71
Furniture,Furnishings,"Eldon 300 Class Desk Accessories, Black",1,4.95,100,3.71
Furniture,Furnishings,"Eldon 400 Class Desk Accessories, Black Carbon",4,8.31,400,6.23
Furniture,Furnishings,Eldon 500 Class Desk Accessories,2,11.27,200,8.45
Furniture,Furnishings,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,3,43.31,300,32.48
Furniture,Furnishings,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,5,37.94,500,28.46
Furniture,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,5,105.29,500,78.97
Furniture,Furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets,2,22.2,200,16.65
Furniture,Furnishings,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",3,34.14,300,25.6
Furniture,Furnishings,Eldon Executive Woodline II Cherry Finish Desk Accessories,4,16.36,400,12.27
Furniture,Furnishings,"Eldon Executive Woodline II Desk Accessories, Mahogany",8,22.62,800,16.96
Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",3,11.42,300,8.56
Furniture,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",6,8.13,600,6.1
Furniture,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",2,8.51,200,6.38
Furniture,Furnishings,"Eldon Expressions Wood Desk Accessories, Oak",3,5.9,300,4.43
Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",4,6.98,400,5.24
Furniture,Furnishings,Eldon Image Series Black Desk Accessories,3,3.73,300,2.8
Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",5,3.9,500,2.92
Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony",2,9.88,200,7.41
Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",3,3.89,300,2.92
Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,5,37.31,500,27.98
Furniture,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",2,1.39,200,1.04
Furniture,Furnishings,"Eldon Stackable Tray, Side-Load, Legal, Smoke",2,9.14,200,6.86
Furniture,Furnishings,Eldon Wave Desk Accessories,12,4.89,1200,3.67
Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",5,95.46,500,71.6
Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,3,49.34,300,37.01
Furniture,Furnishings,Electrix Halogen Magnifier Lamp,2,116.58,200,87.44
Furniture,Furnishings,"Executive Impressions 12"" Wall Clock",3,14.14,300,10.6
Furniture,Furnishings,"Executive Impressions 13"" Chairman Wall Clock",5,20.3,500,15.23
Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",1,7.69,100,5.77
Furniture,Furnishings,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",1,18.7,100,14.02
Furniture,Furnishings,"Executive Impressions 14""",1,22.23,100,16.67
Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",5,20.01,500,15.01
Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",4,20.45,400,15.34
Furniture,Furnishings,"Executive Impressions 16-1/2"" Circular Wall Clock",1,26.72,100,20.04
Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,13,42.1,1300,31.58
Furniture,Furnishings,Flat Face Poster Frame,8,15.07,800,11.3
Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",5,15.52,500,11.64
Furniture,Furnishings,G.E. Halogen Desk Lamp Bulbs,1,6.98,100,5.24
Furniture,Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,4,3.98,400,2.98
Furniture,Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",5,92.61,500,69.46
Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",2,2.72,200,2.04
Furniture,Furnishings,Hand-Finished Solid Wood Document Frame,2,30.81,200,23.11
Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",11,43.13,1100,32.35
Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",2,38.82,200,29.12
Furniture,Furnishings,"Howard Miller 12"" Round Wall Clock",5,39.29,500,29.47
Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",4,37.55,400,28.16
Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",3,34.35,300,25.76
Furniture,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",4,41.26,400,30.94
Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",5,43.99,500,32.99
Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",8,51.15,800,38.36
Furniture,Furnishings,Howard Miller Distant Time Traveler Alarm Clock,10,25.59,1000,19.19
Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",5,11.46,500,8.6
Furniture,Furnishings,Longer-Life Soft White Bulbs,5,3.08,500,2.31
Furniture,Furnishings,Luxo Economy Swing Arm Lamp,7,19.94,700,14.96
Furniture,Furnishings,Luxo Professional Combination Clamp-On Lamps,5,102.3,500,76.72
Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,6,188.86,600,141.65
Furniture,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,5,104.01,500,78.01
Furniture,Furnishings,Magna Visual Magnetic Picture Hangers,2,4.34,200,3.26
Furniture,Furnishings,Magnifier Swing Arm Lamp,4,20.98,400,15.74
Furniture,Furnishings,"Master Big Foot Doorstop, Beige",7,5.28,700,3.96
Furniture,Furnishings,"Master Caster Door Stop, Brown",7,5.08,700,3.81
Furniture,Furnishings,"Master Caster Door Stop, Gray",4,4.06,400,3.04
Furniture,Furnishings,"Master Caster Door Stop, Large Neon Orange",5,5.1,500,3.82
Furniture,Furnishings,"Master Giant Foot Doorstop, Safety Yellow",3,7.59,300,5.69
Furniture,Furnishings,Nu-Dell Executive Frame,9,9.27,900,6.95
Furniture,Furnishings,Nu-Dell Leatherette Frames,11,12.91,1100,9.68
Furniture,Furnishings,Nu-Dell Oak Frame,6,8.54,600,6.4
Furniture,Furnishings,OIC Stacking Trays,9,2.67,900,2.0
Furniture,Furnishings,Regeneration Desk Collection,5,1.76,500,1.32
Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",6,44.39,600,33.29
Furniture,Furnishings,"Seth Thomas 12"" Clock w/ Goldtone Case",5,22.98,500,17.24
Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",2,7.11,200,5.33
Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",3,29.34,300,22.0
Furniture,Furnishings,"Seth Thomas 16"" Steel Case Clock",5,22.74,500,17.06
Furniture,Furnishings,Stackable Trays,7,2.87,700,2.15
Furniture,Furnishings,"Stacking Tray, Side-Loading, Legal, Smoke",5,3.58,500,2.68
Furniture,Furnishings,Stacking Trays by OIC,2,1.99,200,1.49
Furniture,Furnishings,Staple-based wall hangings,4,7.37,400,5.53
Furniture,Furnishings,Telescoping Adjustable Floor Lamp,2,11.99,200,8.99
Furniture,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",9,69.96,900,52.47
Furniture,Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",6,90.08,600,67.56
Furniture,Furnishings,Tenex Antistatic Computer Chair Mats,5,68.39,500,51.29
Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,6,42.91,600,32.18
Furniture,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",5,28.28,500,21.21
Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,3,15.98,300,11.98
Furniture,Furnishings,Tenex Chairmats For Use with Hard Floors,4,29.23,400,21.92
Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",3,96.78,300,72.59
Furniture,Furnishings,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",2,64.45,200,48.34
Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",9,60.65,900,45.49
Furniture,Furnishings,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",2,56.78,200,42.58
Furniture,Furnishings,"Tensor ""Hersey Kiss"" Styled Floor Lamp",1,12.99,100,9.74
Furniture,Furnishings,Tensor Brushed Steel Torchiere Floor Lamp,3,12.46,300,9.35
Furniture,Furnishings,Tensor Computer Mounted Lamp,5,14.89,500,11.17
Furniture,Furnishings,Tensor Track Tree Floor Lamp,8,18.66,800,14.0
Furniture,Furnishings,"Ultra Door Kickplate, 8""H x 34""W",5,15.82,500,11.86
Furniture,Furnishings,Ultra Door Push Plate,2,4.91,200,3.68
Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,3,7.53,300,5.65
Furniture,Furnishings,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",3,23.99,300,17.99
Furniture,Furnishings,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",4,14.14,400,10.6
Furniture,Tables,Anderson Hickey Conga Table Tops & Accessories,2,12.18,200,9.14
Furniture,Tables,BPI Conference Tables,3,109.54,300,82.16
Furniture,Tables,Balt Solid Wood Rectangular Table,2,105.49,200,79.12
Furniture,Tables,Balt Solid Wood Round Tables,7,357.19,700,267.89
Furniture,Tables,Balt Split Level Computer Training Table,2,76.31,200,57.23
Furniture,Tables,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",2,60.48,200,45.36
Furniture,Tables,Bevis 36 x 72 Conference Tables,9,99.59,900,74.69
Furniture,Tables,Bevis 44 x 96 Conference Tables,2,205.9,200,154.43
Furniture,Tables,Bevis Boat-Shaped Conference Table,2,209.69,200,157.27
Furniture,Tables,"Bevis Oval Conference Table, Walnut",5,191.39,500,143.54
Furniture,Tables,Bevis Rectangular Conference Tables,4,87.59,400,65.69
Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",6,155.83,600,116.87
Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,5,102.44,500,76.83
Furniture,Tables,"Bevis Round Conference Table Top, X-Base",7,125.5,700,94.12
Furniture,Tables,"Bevis Traditional Conference Table Top, Plinth Base",4,233.35,400,175.01
Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,7,114.84,700,86.13
Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,5,226.34,500,169.76
Furniture,Tables,Bretford Rectangular Conference Table Tops,4,289.62,400,217.22
Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,4,417.4,400,313.05
Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,7,247.46,700,185.6
Furniture,Tables,Bush Advantage Collection Round Conference Table,3,143.5,300,107.62
Furniture,Tables,"Bush Andora Conference Table, Maple/Graphite Gray Finish",6,119.69,600,89.77
Furniture,Tables,"Bush Cubix Conference Tables, Fully Assembled",8,161.69,800,121.27
Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5,184.37,500,138.28
Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,7,385.69,700,289.27
Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",4,159.76,400,119.82
Furniture,Tables,Chromcraft Rectangular Conference Tables,3,173.78,300,130.34
Furniture,Tables,Chromcraft Round Conference Tables,12,139.43,1200,104.57
